file_name,model_id,paper_id,paper_title,original_file_name
attention__gpt-image-2.png,gpt-image-2,attention,Attention Is All You Need,gpt image 2 Attention Is All You Need.png
docs2kg__gpt-image-2.png,gpt-image-2,docs2kg,Docs2KG A Human-LLM Collaborative Approach to Unified Knowledge Graph Construction from Heterogeneous Documents,gpt image 2 Docs2KG A Human-LLMCollaborative Approach to Unified Knowledge Graph Construction from Heterogeneous Documents.png
wis-lintf2__gpt-image-2-pro.png,gpt-image-2-pro,wis-lintf2,Lithium solvation and anion-dominated domain structure in water-in-salt electrolytes,GPT_image_2_pro Lithium solvation and anion-dominated domain structure in water-in-salt electrolytes.png
earth-aurora__gpt-image-2.png,gpt-image-2,earth-aurora,A foundation model for the Earth system,GPT-Image-2 A foundation model for the Earth system.png
ferroptosis-rcd__gpt-image-2.png,gpt-image-2,ferroptosis-rcd,Mechanisms of Ferroptosis and Relations With Regulated Cell Death A Review,GPT-image-2 Mechanisms of Ferroptosis and Relations With Regulated Cell Death A Review.png
attention__nano-banana-2.png,nano-banana-2,attention,Attention Is All You Need,Nano banana 2 Attention Is All You Need.png
docs2kg__nano-banana-2.png,nano-banana-2,docs2kg,Docs2KG A Human-LLM Collaborative Approach to Unified Knowledge Graph Construction from Heterogeneous Documents,nano banana 2 Docs2KG A Human-LLMCollaborative Approach to Unified Knowledge Graph Construction from Heterogeneous Documents.png
docs2kg__nano-banana-pro.png,nano-banana-pro,docs2kg,Docs2KG A Human-LLM Collaborative Approach to Unified Knowledge Graph Construction from Heterogeneous Documents,nano banana pro Docs2KG A Human-LLMCollaborative Approach to Unified Knowledge Graph Construction from Heterogeneous Documents.png
ferroptosis-rcd__nano-banana-pro.png,nano-banana-pro,ferroptosis-rcd,Mechanisms of Ferroptosis and Relations With Regulated Cell Death A Review,nano banana pro Mechanisms of Ferroptosis and Relations With Regulated Cell Death A Review.png
wis-lintf2__nano-banana-2.png,nano-banana-2,wis-lintf2,Lithium solvation and anion-dominated domain structure in water-in-salt electrolytes,Nano banana_2 Lithium solvation and anion-dominated domain structure in water-in-salt electrolytes.png
attention__nano-banana-pro.png,nano-banana-pro,attention,Attention Is All You Need,Nano banana_pro Attention Is All You Need.png
wis-lintf2__nano-banana-pro.png,nano-banana-pro,wis-lintf2,Lithium solvation and anion-dominated domain structure in water-in-salt electrolytes,Nano banana_pro Lithium solvation and anion-dominated domain structure in water-in-salt electrolytes.png
ferroptosis-rcd__nano-banana-2.png,nano-banana-2,ferroptosis-rcd,Mechanisms of Ferroptosis and Relations With Regulated Cell Death A Review,nano banana-2 Mechanisms of Ferroptosis and Relations With Regulated Cell Death A Review.png
earth-aurora__nano-banana-2.png,nano-banana-2,earth-aurora,A foundation model for the Earth system,Nano-banana-2 A foundation model for the Earth system.png
earth-aurora__nano-banana-pro.png,nano-banana-pro,earth-aurora,A foundation model for the Earth system,Nano-banana-Pro A foundation model for the Earth system.png
docs2kg__qwen-image-2.png,qwen-image-2,docs2kg,Docs2KG A Human-LLM Collaborative Approach to Unified Knowledge Graph Construction from Heterogeneous Documents,qwen image 2 Docs2KG A Human-LLMCollaborative Approach to Unified Knowledge Graph Construction from Heterogeneous Documents.png
attention__qwen-image-2.png,qwen-image-2,attention,Attention Is All You Need,qwen_image_2 Attention Is All You Need.png
wis-lintf2__qwen-image-2.png,qwen-image-2,wis-lintf2,Lithium solvation and anion-dominated domain structure in water-in-salt electrolytes,qwen_image_2 Lithium solvation and anion-dominated domain structure in water-in-salt electrolytes.png
earth-aurora__qwen-image-2-pro.png,qwen-image-2-pro,earth-aurora,A foundation model for the Earth system,qwen_image_2_pro A foundation model for the Earth system.png
attention__qwen-image-2-pro.png,qwen-image-2-pro,attention,Attention Is All You Need,qwen_image_2_pro Attention Is All You Need.png
wis-lintf2__qwen-image-2-pro.png,qwen-image-2-pro,wis-lintf2,Lithium solvation and anion-dominated domain structure in water-in-salt electrolytes,qwen_image_2_pro Lithium solvation and anion-dominated domain structure in water-in-salt electrolytes.png
ferroptosis-rcd__qwen-image-2.png,qwen-image-2,ferroptosis-rcd,Mechanisms of Ferroptosis and Relations With Regulated Cell Death A Review,qwen-image-2 Mechanisms of Ferroptosis and Relations With Regulated Cell Death A Review.png
ferroptosis-rcd__qwen-image-2-pro.png,qwen-image-2-pro,ferroptosis-rcd,Mechanisms of Ferroptosis and Relations With Regulated Cell Death A Review,qwen-image-2 pro Mechanisms of Ferroptosis and Relations With Regulated Cell Death A Review.png
earth-aurora__qwen-image-2.png,qwen-image-2,earth-aurora,A foundation model for the Earth system,qwen-image-2-A foundation model for the Earth system.png
